,date,Confirmed,Deaths,Confirmed_daily,Deaths_daily
0,2020-01-26,2.0,0.0,0.0,0.0
1,2020-01-27,2.0,0.0,0.0,0.0
2,2020-01-28,2.0,0.0,0.0,0.0
3,2020-01-29,2.0,0.0,0.0,0.0
4,2020-01-30,2.0,0.0,0.0,0.0
5,2020-01-31,2.0,0.0,0.0,0.0
6,2020-02-01,2.0,0.0,0.0,0.0
7,2020-02-02,2.0,0.0,0.0,0.0
8,2020-02-03,2.0,0.0,0.0,0.0
9,2020-02-04,2.0,0.0,0.0,0.0
10,2020-02-05,2.0,0.0,0.0,0.0
11,2020-02-06,2.0,0.0,0.0,0.0
12,2020-02-07,2.0,0.0,0.0,0.0
13,2020-02-08,2.0,0.0,0.0,0.0
14,2020-02-09,2.0,0.0,0.0,0.0
15,2020-02-10,2.0,0.0,0.0,0.0
16,2020-02-11,2.0,0.0,0.0,0.0
17,2020-02-12,2.0,0.0,0.0,0.0
18,2020-02-13,2.0,0.0,0.0,0.0
19,2020-02-14,2.0,0.0,0.0,0.0
20,2020-02-15,2.0,0.0,0.0,0.0
21,2020-02-16,2.0,0.0,0.0,0.0
22,2020-02-17,2.0,0.0,0.0,0.0
23,2020-02-18,2.0,0.0,0.0,0.0
24,2020-02-19,2.0,0.0,0.0,0.0
25,2020-02-20,2.0,0.0,0.0,0.0
26,2020-02-21,2.0,0.0,0.0,0.0
27,2020-02-22,2.0,0.0,0.0,0.0
28,2020-02-23,2.0,0.0,0.0,0.0
29,2020-02-24,2.0,0.0,0.0,0.0
30,2020-02-25,2.0,0.0,0.0,0.0
31,2020-02-26,2.0,0.0,0.0,0.0
32,2020-02-27,2.0,0.0,0.0,0.0
33,2020-02-28,2.0,0.0,0.0,0.0
34,2020-02-29,2.0,0.0,0.0,0.0
35,2020-03-01,2.0,0.0,0.0,0.0
36,2020-03-02,2.0,0.0,0.0,0.0
37,2020-03-03,2.0,0.0,0.0,0.0
38,2020-03-04,2.0,0.0,0.0,0.0
39,2020-03-05,2.0,0.0,0.0,0.0
40,2020-03-06,2.0,0.0,0.0,0.0
41,2020-03-07,2.0,0.0,0.0,0.0
42,2020-03-08,2.0,0.0,0.0,0.0
43,2020-03-09,2.0,0.0,0.0,0.0
44,2020-03-10,144.0,2.0,142.0,2.0
45,2020-03-11,177.0,3.0,33.0,1.0
46,2020-03-12,221.0,4.0,44.0,1.0
47,2020-03-13,282.0,4.0,61.0,0.0
48,2020-03-14,340.0,5.0,58.0,1.0
49,2020-03-15,426.0,6.0,86.0,1.0
50,2020-03-16,557.0,7.0,131.0,1.0
51,2020-03-17,698.0,12.0,141.0,5.0
52,2020-03-18,751.0,13.0,53.0,1.0
53,2020-03-19,952.0,18.0,201.0,5.0
54,2020-03-20,1177.0,23.0,225.0,5.0
55,2020-03-21,1364.0,24.0,187.0,1.0
56,2020-03-22,1646.0,30.0,282.0,6.0
57,2020-03-23,2108.0,39.0,462.0,9.0
58,2020-03-24,2538.0,50.0,430.0,11.0
59,2020-03-25,2998.0,65.0,460.0,15.0
60,2020-03-26,3899.0,81.0,901.0,16.0
61,2020-03-27,4657.0,94.0,758.0,13.0
62,2020-03-28,5095.0,110.0,438.0,16.0
63,2020-03-29,5852.0,124.0,757.0,14.0
64,2020-03-30,7138.0,146.0,1286.0,22.0
65,2020-03-31,8210.0,173.0,1072.0,27.0
66,2020-04-01,9399.0,199.0,1189.0,26.0
67,2020-04-02,10773.0,238.0,1374.0,39.0
68,2020-04-03,12004.0,265.0,1231.0,27.0
69,2020-04-04,12837.0,289.0,833.0,24.0
70,2020-04-05,15034.0,348.0,2197.0,59.0
71,2020-04-06,16019.0,380.0,985.0,32.0
72,2020-04-07,17351.0,432.0,1332.0,52.0
73,2020-04-08,18897.0,495.0,1546.0,63.0
74,2020-04-09,19710.0,544.0,813.0,49.0
75,2020-04-10,21081.0,583.0,1371.0,39.0
76,2020-04-11,21706.0,604.0,625.0,21.0
77,2020-04-12,22795.0,640.0,1089.0,36.0
78,2020-04-13,23931.0,714.0,1136.0,74.0
79,2020-04-14,25356.0,767.0,1425.0,53.0
80,2020-04-15,26686.0,860.0,1330.0,93.0
81,2020-04-16,27677.0,956.0,991.0,96.0
82,2020-04-17,29157.0,1037.0,1480.0,81.0
83,2020-04-18,30491.0,1140.0,1334.0,103.0
84,2020-04-19,31431.0,1177.0,940.0,37.0
85,2020-04-20,33686.0,1225.0,2255.0,48.0
86,2020-04-21,35465.0,1282.0,1779.0,57.0
87,2020-04-22,37344.0,1421.0,1879.0,139.0
88,2020-04-23,39561.0,1533.0,2217.0,112.0
89,2020-04-24,41355.0,1621.0,1794.0,88.0
90,2020-04-25,42368.0,1689.0,1013.0,68.0
91,2020-04-26,43558.0,1725.0,1190.0,36.0
92,2020-04-27,44966.0,1779.0,1408.0,54.0
93,2020-04-28,46164.0,1864.0,1198.0,85.0
94,2020-04-29,48747.0,1946.0,2583.0,82.0
95,2020-04-30,50130.0,2031.0,1383.0,85.0
96,2020-05-01,52026.0,2126.0,1896.0,95.0
97,2020-05-02,53347.0,2180.0,1321.0,54.0
98,2020-05-03,54903.0,2216.0,1556.0,36.0
99,2020-05-04,55884.0,2278.0,981.0,62.0
100,2020-05-05,58456.0,2381.0,2572.0,103.0
101,2020-05-06,60616.0,2464.0,2160.0,83.0
102,2020-05-07,62148.0,2535.0,1532.0,71.0
103,2020-05-08,63779.0,2613.0,1631.0,78.0
104,2020-05-09,66558.0,2687.0,2779.0,74.0
105,2020-05-10,67600.0,2716.0,1042.0,29.0
106,2020-05-11,69329.0,2779.0,1729.0,63.0
107,2020-05-12,70978.0,2879.0,1649.0,100.0
108,2020-05-13,72798.0,2957.0,1820.0,78.0
109,2020-05-14,74871.0,3052.0,2073.0,95.0
110,2020-05-15,76693.0,3136.0,1822.0,84.0
111,2020-05-16,78725.0,3208.0,2032.0,72.0
112,2020-05-17,80166.0,3240.0,1441.0,32.0
113,2020-05-18,81457.0,3279.0,1291.0,39.0
114,2020-05-19,83752.0,3403.0,2295.0,124.0
115,2020-05-20,85997.0,3497.0,2245.0,94.0
116,2020-05-21,88031.0,3583.0,2034.0,86.0
117,2020-05-22,90252.0,3666.0,2221.0,83.0
118,2020-05-23,92539.0,3738.0,2287.0,72.0
119,2020-05-24,94020.0,3754.0,1481.0,16.0
120,2020-05-25,96400.0,3769.0,2380.0,15.0
121,2020-05-26,99387.0,3819.0,2987.0,50.0
122,2020-05-27,101050.0,3895.0,1663.0,76.0
123,2020-05-28,103813.0,3993.0,2763.0,98.0
124,2020-05-29,106622.0,4077.0,2809.0,84.0
125,2020-05-30,109895.0,4144.0,3273.0,67.0
126,2020-05-31,111951.0,4172.0,2056.0,28.0
127,2020-06-01,114733.0,4217.0,2782.0,45.0
128,2020-06-02,117215.0,4305.0,2482.0,88.0
129,2020-06-03,119348.0,4374.0,2133.0,69.0
130,2020-06-04,122168.0,4444.0,2820.0,70.0
131,2020-06-05,125738.0,4529.0,3570.0,85.0
132,2020-06-06,128593.0,4607.0,2855.0,78.0
133,2020-06-07,130615.0,4632.0,2022.0,25.0
134,2020-06-08,133816.0,4657.0,3201.0,25.0
135,2020-06-09,136641.0,4745.0,2825.0,88.0
136,2020-06-10,139715.0,4854.0,3074.0,109.0
137,2020-06-11,143377.0,4934.0,3662.0,80.0
138,2020-06-12,146659.0,4978.0,3282.0,44.0
139,2020-06-13,150018.0,5076.0,3359.0,98.0
140,2020-06-14,152300.0,5099.0,2282.0,23.0
141,2020-06-15,155726.0,5114.0,3426.0,15.0
142,2020-06-16,158961.0,5200.0,3235.0,86.0
143,2020-06-17,162798.0,5271.0,3837.0,71.0
144,2020-06-18,167086.0,5355.0,4288.0,84.0
145,2020-06-19,170862.0,5426.0,3776.0,71.0
146,2020-06-20,175213.0,5494.0,4351.0,68.0
147,2020-06-21,178546.0,5515.0,3333.0,21.0
148,2020-06-22,184765.0,5566.0,6219.0,51.0
149,2020-06-23,191477.0,5626.0,6712.0,60.0
150,2020-06-24,195925.0,5725.0,4448.0,99.0
151,2020-06-25,201112.0,5806.0,5187.0,81.0
152,2020-06-26,206844.0,5868.0,5732.0,62.0
153,2020-06-27,210584.0,5899.0,3740.0,31.0
154,2020-06-28,215296.0,5932.0,4712.0,33.0
155,2020-06-29,223646.0,5983.0,8350.0,51.0
156,2020-06-30,231232.0,6082.0,7586.0,99.0
157,2020-07-01,238681.0,6169.0,7449.0,87.0
158,2020-07-02,246550.0,6265.0,7869.0,96.0
159,2020-07-03,250514.0,6315.0,3964.0,50.0
160,2020-07-04,252895.0,6334.0,2381.0,19.0
161,2020-07-05,264681.0,6373.0,11786.0,39.0
162,2020-07-06,271035.0,6441.0,6354.0,68.0
163,2020-07-07,284012.0,6573.0,12977.0,132.0
164,2020-07-08,292560.0,6718.0,8548.0,145.0
165,2020-07-09,302484.0,6859.0,9924.0,141.0
166,2020-07-10,310885.0,6955.0,8401.0,96.0
167,2020-07-11,318761.0,7027.0,7876.0,72.0
168,2020-07-12,324543.0,7051.0,5782.0,24.0
169,2020-07-13,333357.0,7089.0,8814.0,38.0
170,2020-07-14,346211.0,7250.0,12854.0,161.0
171,2020-07-15,354885.0,7375.0,8674.0,125.0
172,2020-07-16,364706.0,7489.0,9821.0,114.0
173,2020-07-17,373259.0,7603.0,8553.0,114.0
174,2020-07-18,380745.0,7702.0,7486.0,99.0
175,2020-07-19,386906.0,7715.0,6161.0,13.0
176,2020-07-20,397870.0,7770.0,10964.0,55.0
177,2020-07-21,409305.0,7888.0,11435.0,118.0
178,2020-07-22,421286.0,8047.0,11981.0,159.0
179,2020-07-23,430773.0,8201.0,9487.0,154.0
180,2020-07-24,440185.0,8337.0,9412.0,136.0
181,2020-07-25,446452.0,8408.0,6267.0,71.0
182,2020-07-26,452288.0,8448.0,5836.0,40.0
183,2020-07-27,458121.0,8494.0,5833.0,46.0
184,2020-07-28,470762.0,8679.0,12641.0,185.0
185,2020-07-29,484913.0,8908.0,14151.0,229.0
186,2020-07-30,492934.0,9026.0,8021.0,118.0
187,2020-07-31,500556.0,9214.0,7622.0,188.0
188,2020-08-01,506613.0,9345.0,6057.0,131.0
189,2020-08-02,512175.0,9396.0,5562.0,51.0
190,2020-08-03,516851.0,9441.0,4676.0,45.0
191,2020-08-04,526685.0,9684.0,9834.0,243.0
192,2020-08-05,530606.0,9808.0,3921.0,124.0
193,2020-08-06,541339.0,10021.0,10733.0,213.0
194,2020-08-07,546814.0,10133.0,5475.0,112.0
195,2020-08-08,554388.0,10307.0,7574.0,174.0
196,2020-08-09,559746.0,10377.0,5358.0,70.0
197,2020-08-10,574231.0,10476.0,14485.0,99.0
198,2020-08-11,578946.0,10523.0,4715.0,47.0
199,2020-08-12,591376.0,10753.0,12430.0,230.0
200,2020-08-13,597984.0,10870.0,6608.0,117.0
201,2020-08-14,613101.0,11148.0,15117.0,278.0
202,2020-08-15,617994.0,11218.0,4893.0,70.0
203,2020-08-16,623873.0,11243.0,5879.0,25.0
204,2020-08-17,629415.0,11296.0,5542.0,53.0
205,2020-08-18,638140.0,11504.0,8725.0,208.0
206,2020-08-19,647274.0,11690.0,9134.0,186.0
207,2020-08-20,652267.0,11810.0,4993.0,120.0
208,2020-08-21,658900.0,11946.0,6633.0,136.0
209,2020-08-22,664435.0,12131.0,5535.0,185.0
210,2020-08-23,669280.0,12153.0,4845.0,22.0
211,2020-08-24,675561.0,12235.0,6281.0,82.0
212,2020-08-25,681032.0,12382.0,5471.0,147.0
213,2020-08-26,687004.0,12532.0,5972.0,150.0
214,2020-08-27,691821.0,12677.0,4817.0,145.0
215,2020-08-28,697385.0,12805.0,5564.0,128.0
216,2020-08-29,702038.0,12894.0,4653.0,89.0
